AYUNTAMIENTOS
03/06/2024 20:00 (UTC-6)

ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
8352,7897,12,7885,94.4085,6958,83.3093,13.6254,927,4169515,2687769.0,2682757.0,64.4623

CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MORENA,NAP,FXMP,CAND_IND_1,CAND_IND_2,C_PAN_PRI_PRD_PSI,C_PAN_PRI_PRD,C_PAN_PRI_PSI,C_PAN_PRD_PSI,C_PRI_PRD_PSI,C_PAN_PRI,C_PAN_PRD,C_PAN_PSI,C_PRI_PRD,C_PRI_PSI,C_PRD_PSI,C_PT_PVEM_MORENA_NAP_FXMP,C_PT_PVEM_MORENA_NAP,C_PT_PVEM_MORENA_FXMP,C_PT_PVEM_NAP_FXMP,C_PT_MORENA_NAP_FXMP,C_PVEM_MORENA_NAP_FXMP,C_PT_PVEM_MORENA,C_PT_PVEM_NAP,C_PT_PVEM_FXMP,C_PT_MORENA_NAP,C_PT_MORENA_FXMP,C_PT_NAP_FXMP,C_PVEM_MORENA_NAP,C_PVEM_MORENA_FXMP,C_PVEM_NAP_FXMP,C_MORENA_NAP_FXMP,C_PT_PVEM,C_PT_MORENA,C_PT_NAP,C_PT_FXMP,C_PVEM_MORENA,C_PVEM_NAP,C_PVEM_FXMP,C_MORENA_NAP,C_MORENA_FXMP,C_NAP_FXMP,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210000A0100,'210000A01004,'21,PUEBLA,'001,ACAJETE,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,N/A,-,-,-,-,-,-,-,-,-,-
'210000A0100,'210000A01004,'21,PUEBLA,'025,AYOTOXCO DE GUERRERO,'N/A,'N/A,A,'00,1,4,N/A,1,N/A,1,0,0,0,0,1,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,0,1,1,1,N/A, - ,1,F,212c66cc9063abdbe7cf2dbb6e53c7bbe722d11822496ca291c761da80b42411,03/06/2024 19:23:55,03/06/2024 19:28:59,03/06/2024 19:49:57,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'030,CAXHUACAN,'N/A,'N/A,A,'00,1,4,N/A,SIN ACTA,N/A,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,-,-,-,-,-,-,-,-,-,SIN ACTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SIN ACTA,SIN ACTA,SIN ACTA,0,1,N/A,SIN ACTA POR PAQUETE ENTREGADO SIN BOLSA,0,N/A,N/A,N/A,N/A,N/A,CATD,ESCANER,N/A
'210000A0100,'210000A01004,'21,PUEBLA,'036,COXCATLAN,'N/A,'N/A,A,'00,1,4,N/A,2,N/A,SIN DATO,0,0,0,0,0,2,0,0,0,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,2,2,2,N/A, - ,1,F,ce1ef05319f7a5aa32d9f6a494ec31184465142f35803ba2921bb548a0a13bb7,02/06/2024 23:57:44,02/06/2024 23:58:37,03/06/2024 01:34:24,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'042,CUAUTLANCINGO,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,N/A,-,-,-,-,-,-,-,-,-,-
'210000A0100,'210000A01004,'21,PUEBLA,'046,CHALCHICOMULA DE SESMA,'N/A,'N/A,A,'00,1,4,N/A,1,N/A,1,1,0,0,0,0,0,0,0,0,0,-,-,-,-,0,-,-,0,-,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,N/A, - ,1,F,6da0f62db3bc6043fa4c81bc9f4416de256d81b3e0e8f27c475b33c045b09b18,02/06/2024 23:52:45,02/06/2024 23:53:53,02/06/2024 23:55:01,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'055,CHIGNAUTLA,'N/A,'N/A,A,'00,1,4,N/A,SIN DATO,N/A,SIN DATO,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,1,SIN DATO,2,2,N/A, - ,1,F,3e2da88d77f88305caf725e2f58526918deb11dd84013a50d2d424458b86bfee,03/06/2024 19:19:14,03/06/2024 19:28:35,03/06/2024 19:41:36,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'072,HUAUCHINANGO,'N/A,'N/A,A,'00,1,4,N/A,1,N/A,1,0,0,0,0,0,0,0,1,0,0,-,-,-,0,-,-,-,0,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,0,0,1,1,1,N/A, - ,1,F,ba3c1ae2ef53235a884f0be3112e4fde1fe3d61f5e2d170880bb61fcfea63e10,02/06/2024 23:45:22,02/06/2024 23:47:41,03/06/2024 01:24:21,CATD,ESCANER,ACTA VA
'210000A0100,'210000A01004,'21,PUEBLA,'073,HUEHUETLA,'N/A,'N/A,A,'00,1,4,N/A,SIN ACTA,N/A,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,SIN ACTA,-,-,-,-,SIN ACTA,-,-,SIN ACTA,-,SIN ACTA,-,SIN ACTA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SIN ACTA,-,-,-,-,-,-,-,-,SIN ACTA,SIN ACTA,SIN ACTA,0,1,N/A,SIN ACTA POR PAQUETE NO ENTREGADO,0,N/A,N/A,N/A,N/A,N/A,CATD,ESCANER,N/A
'210000A0100,'210000A01004,'21,PUEBLA,'077,HUEYAPAN,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,N/A,-,-,-,-,-,-,-,-,-,-
