ID_ENTIDAD,ID_DISTRITO_LOCAL,PARTIDO_CI,CANDIDATURA_PROPIETARIA,CANDIDATURA_SUPLENTE
21,001,PAN,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,PRI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,PRD,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,PT,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,PVEM,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,MC,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,MRPP,,
21,001,SEHHP,,
21,001,CI1,,
21,001,CI2,,
21,001,C_PAN_PRI_PRD_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PAN_PRI_PRD,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PAN_PRI_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PAN_PRD_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PRI_PRD_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PAN_PRI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PAN_PRD,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PAN_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PRI_PRD,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PRI_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PRD_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_PVEM_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_PVEM_MOR_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_PVEM_MOR_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_PVEM_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PVEM_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_PVEM_MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_PVEM_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_PVEM_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_MOR_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_MOR_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PVEM_MOR_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PVEM_MOR_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PVEM_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_PVEM,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PT_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PVEM_MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PVEM_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_PVEM_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_MOR_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_MOR_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,001,C_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,PAN,,
21,002,PRI,,
21,002,PRD,,
21,002,PT,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,PVEM,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,MC,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,PSI,,
21,002,MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,MRPP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,SEHHP,,
21,002,CI1,,
21,002,CI2,,
21,002,C_PAN_PRI_PRD_PSI,,
21,002,C_PAN_PRI_PRD,,
21,002,C_PAN_PRI_PSI,,
21,002,C_PAN_PRD_PSI,,
21,002,C_PRI_PRD_PSI,,
21,002,C_PAN_PRI,,
21,002,C_PAN_PRD,,
21,002,C_PAN_PSI,,
21,002,C_PRI_PRD,,
21,002,C_PRI_PSI,,
21,002,C_PRD_PSI,,
21,002,C_PT_PVEM_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_PVEM_MOR_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_PVEM_MOR_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_PVEM_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PVEM_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_PVEM_MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_PVEM_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_PVEM_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_MOR_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_MOR_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PVEM_MOR_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PVEM_MOR_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PVEM_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_PVEM,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PT_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PVEM_MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PVEM_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_PVEM_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_MOR_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_MOR_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,002,C_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,PAN,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,PRI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,PRD,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,PT,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,PVEM,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,MC,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,MRPP,,
21,003,SEHHP,,
21,003,CI1,,
21,003,CI2,,
21,003,C_PAN_PRI_PRD_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PAN_PRI_PRD,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PAN_PRI_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PAN_PRD_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PRI_PRD_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PAN_PRI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PAN_PRD,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PAN_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PRI_PRD,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PRI_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PRD_PSI,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PT_PVEM_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PT_PVEM_MOR_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PT_PVEM_MOR_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PT_PVEM_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PT_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PVEM_MOR_NAP_FXMP,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PT_PVEM_MOR,Nombre Apellido Apellido,Nombre Apellido Apellido
21,003,C_PT_PVEM_NAP,Nombre Apellido Apellido,Nombre Apellido Apellido
