AYUNTAMIENTOS
19/05/2024 12:10 (UTC-6)

ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
8356,2521,42,2479,29.6673,2322,27.7884,20.2967,157.0,1427627,606108.0,600462.0,42.0601

CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MOR,NAP,FXMP,C_PAN_PRI_PRD_PSI,C_PAN_PRI_PRD,C_PAN_PRI_PSI,C_PAN_PRD_PSI,C_PRI_PRD_PSI,C_PAN_PRI,C_PAN_PRD,C_PAN_PSI,C_PRI_PRD,C_PRI_PSI,C_PRD_PSI,C_PT_PVEM_MOR_NAP_FXMP,C_PT_PVEM_MOR_NAP,C_PT_PVEM_MOR_FXMP,C_PT_PVEM_NAP_FXMP,C_PT_MOR_NAP_FXMP,C_PVEM_MOR_NAP_FXMP,C_PT_PVEM_MOR,C_PT_PVEM_NAP,C_PT_PVEM_FXMP,C_PT_MOR_NAP,C_PT_MOR_FXMP,C_PT_NAP_FXMP,C_PVEM_MOR_NAP,C_PVEM_MOR_FXMP,C_PVEM_NAP_FXMP,C_MOR_NAP_FXMP,C_PT_PVEM,C_PT_MOR,C_PT_NAP,C_PT_FXMP,C_PVEM_MOR,C_PVEM_NAP,C_PVEM_FXMP,C_MOR_NAP,C_MOR_FXMP,C_NAP_FXMP,C_PRD_MC,CAND_IND_1,CAND_IND_2,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,19/05/2024 11:45:07,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,19/05/2024 11:46:37,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,,,,,,,,,-,-,,,-,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,19/05/2024 11:46:54,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,0,1000,N/A,-,-,-,-,19/05/2024 11:47:15,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,-,-,-,0,1000,N/A,-,-,-,-,19/05/2024 11:47:37,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,-,,,,-,-,,-,,,,,,,,,-,,,,,,,,,,-,-,,,-,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,,,,,,,,,-,,,,-,,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,19/05/2024 12:04:33,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,,-,,,,,,,,,,,,-,,,,,,,-,,-,,,,,-,,,,,-,-,-,0,1000,N/A,-,-,-,-,19/05/2024 12:04:14,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,-,-,-,0,1000,N/A,-,-,-,-,19/05/2024 12:07:10,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,19/05/2024 12:06:54,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,,,-,,,,-,-,,-,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,,-,,,,,-,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,,,,,,-,,,-,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,,-,,-,-,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,,-,,,,-,,,,-,,-,,-,,,-,,,-,-,,-,-,,-,,-,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,-,,,,,,,-,,-,,,,,-,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,,-,,,,,,,,,,,,-,,,,,,,-,,-,,,,,-,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,-,,,,-,-,,-,,,,,,,,,,,,,,,,,,,,-,,,,-,,,,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,,-,-,-,-,-,-,,,,-,,,-,,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
'210000AN/A00,'210000AN/A004,'21,PUEBLA,'N/A,N/A,'N/A,'N/A,A,'00,1,4,N/A,-,N/A,-,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,,-,,,,,,,,,,,,,,,,,,-,,,,,,,,,-,,,,-,-,-,0,1000,N/A,-,-,-,-,-,-,-,-,-,-
