,CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MOR,NAP,FXMP,SEHHP,CAND_IND_1,CAND_IND_2,C_PT_MOR,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,TIEMPO_PROCESAMIENTO,TIEMPO_PROCESAMIENTO_MINUTOS
0,'210000A0000,'210000A00004,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,4,,-,,-,,,-,-,-,-,,-,-,-,,,,,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
1,'210000A0000,'210000A00004,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,4,,-,,-,-,-,-,,-,,-,-,-,,,,,,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
2,'210000A0000,'210000A00004,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,4,,-,,-,-,-,,-,-,-,-,-,-,,,,,,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
3,'210000A0000,'210000A00004,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,4,,-,,-,-,-,,-,-,-,-,-,-,-,,,,-,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
4,'210000A0000,'210000A00004,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,4,,-,,-,,-,,,,-,,,-,-,-,,,,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
5,'210000A0000,'210000A00004,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,4,,-,,-,,,-,,-,-,-,,,,,,,,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
6,'210000A0000,'210000A00004,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,4,,-,,-,-,-,,,-,-,-,,-,,-,,,,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
7,'210000A0000,'210000A00004,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,4,,-,,-,,,-,,-,-,-,,-,-,,,,,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
8,'210000A0000,'210000A00004,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,4,,-,,-,,-,-,-,-,-,,-,-,-,,,,-,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
9,'210000A0000,'210000A00004,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,4,,-,,-,,-,-,,-,-,,,-,-,,,,,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
