,CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MOR,NAP,FXMP,MRPP,C_PAN_PRI_PRD_PSI,C_PAN_PRI_PRD,C_PAN_PRI_PSI,C_PAN_PRD_PSI,C_PRI_PRD_PSI,C_PAN_PRI,C_PAN_PRD,C_PAN_PSI,C_PRI_PRD,C_PRI_PSI,C_PRD_PSI,C_PT_PVEM_MOR_NAP_FXMP,C_PT_PVEM_MOR_NAP,C_PT_PVEM_MOR_FXMP,C_PT_PVEM_NAP_FXMP,C_PT_MOR_NAP_FXMP,C_PVEM_MOR_NAP_FXMP,C_PT_PVEM_MOR,C_PT_PVEM_NAP,C_PT_PVEM_FXMP,C_PT_MOR_NAP,C_PT_MOR_FXMP,C_PT_NAP_FXMP,C_PVEM_MOR_NAP,C_PVEM_MOR_FXMP,C_PVEM_NAP_FXMP,C_MOR_NAP_FXMP,C_PT_PVEM,C_PT_MOR,C_PT_NAP,C_PT_FXMP,C_PVEM_MOR,C_PVEM_NAP,C_PVEM_FXMP,C_MOR_NAP,C_MOR_FXMP,C_NAP_FXMP,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,TIEMPO_PROCESAMIENTO,TIEMPO_PROCESAMIENTO_MINUTOS
0,'210000A0000,'210000A00003,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,3,,-,,-,,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
1,'210000A0000,'210000A00003,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,3,,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
2,'210423B0100,'210423B01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'01,B,'00,2,3,sin_dato,743,sin_dato,sin_dato,,,,64,76,63,,86,83,74,34,,,,,,,,,,,,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,4,sin_dato,484.0,743.0,763.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,cee96b930b3b40ab352ec5caaa216f553ae906a7951ddd23e37f7efa46b41e50,2024-05-12 16:30:33,2024-05-12 16:31:11,2024-05-12 16:36:36,CATD,ESCANER,ACTA PREP,0 days 00:00:38,0.63
3,'210423C0100,'210423C01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'01,C,'00,2,3,sin_dato,742,sin_dato,sin_dato,,,,3,82,55,,7,5,18,88,,,,,,,,,,,,sin_dato,2,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,4,1,sin_dato,265.0,742.0,762.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,8183d926206a99d4f073f64c8d19d0e70cbe87151b8cb725b9d6377c402f51f2,2024-05-12 16:31:12,2024-05-12 16:32:48,2024-05-12 16:36:33,CATD,ESCANER,ACTA PREP,0 days 00:01:36,1.6
4,'210423C0200,'210423C02003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'02,C,'00,2,3,sin_dato,742,sin_dato,sin_dato,,,,45,49,39,,87,53,7,101,,,,,,,,,,,,sin_dato,22,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,403.0,742.0,762.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,9de84981d6a568def4045aaef992602039a78ae17e8393590127a1e92b130bf4,2024-05-12 16:31:47,2024-05-12 16:33:24,2024-05-12 16:36:08,CATD,ESCANER,ACTA PREP,0 days 00:01:37,1.62
5,'210423C0300,'210423C03003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'03,C,'00,2,3,sin_dato,742,sin_dato,sin_dato,,,,37,63,45,,58,76,5,35,,,,,,,,,,,,0,20,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,6,2,sin_dato,347.0,742.0,762.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,d606365269c3b48707b41562410e62a831ba2b05f1c8d32369d2c8f4b3f31645,2024-05-12 16:32:23,2024-05-12 16:33:16,2024-05-12 16:34:37,CATD,ESCANER,ACTA PREP,0 days 00:00:53,0.88
6,'210424B0100,'210424B01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,B,'00,2,3,sin_dato,543,sin_dato,sin_dato,,,,sin_dato,sin_dato,sin_dato,,sin_dato,sin_dato,sin_dato,sin_dato,,,,,,,,,,,,0,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0,sin_dato,0.0,549.0,569.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,c1b765990da9074cf75f407a422deea06feb269b893f4a58927ffe1ce53b6c84,2024-05-12 16:32:59,2024-05-12 16:39:13,2024-05-12 16:41:46,CATD,ESCANER,ACTA PREP,0 days 00:06:14,6.23
7,'210424C0100,'210424C01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,C,'00,2,3,sin_dato,548,sin_dato,sin_dato,,,,sin_dato,sin_dato,sin_dato,,sin_dato,sin_dato,sin_dato,sin_dato,,,,,,,,,,,,0,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0.0,548.0,568.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,97c497a1983c54741cbf34f49ff161866a86dbe1e6350f486075aaa0c09ea6f2,2024-05-12 16:33:35,2024-05-12 16:34:22,2024-05-12 16:38:35,CATD,ESCANER,ACTA PREP,0 days 00:00:47,0.78
8,'210424C0200,'210424C02003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'02,C,'00,2,3,sin_dato,548,sin_dato,sin_dato,,,,28,1,67,,19,27,35,72,,,,,,,,,,,,0,12,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,3,3,sin_dato,267.0,548.0,568.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,6260a9863e538c73b032f247e4a2088b56ace233095a520ef8c07ee5e6178661,2024-05-12 16:34:10,2024-05-12 16:34:55,2024-05-12 16:39:34,CATD,ESCANER,ACTA PREP,0 days 00:00:45,0.75
9,'210424E0100,'210424E01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,E,'00,2,3,sin_dato,384,sin_dato,sin_dato,,,,13,7,30,,15,26,32,3,,,,,,,,,,,,0,12,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0,0,sin_dato,138.0,384.0,404.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,e45dda2bd5d58999b98f324ec4b66bd7c98161b7b8da917242469c1cbacb268b,2024-05-12 16:34:50,2024-05-12 16:35:37,2024-05-12 16:39:10,CATD,ESCANER,ACTA PREP,0 days 00:00:47,0.78
10,'210424E0101,'210424E01013,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,E,'01,2,3,sin_dato,384,sin_dato,sin_dato,,,,4,32,11,,45,3,45,50,,,,,,,,,,,,0,4,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,3,1,sin_dato,198.0,384.0,404.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,78e253418c7bd029737f72770cfbcd82eab4a843b4e08a3d32bab486ccec5a8a,2024-05-12 16:35:28,2024-05-12 16:37:25,2024-05-12 16:43:55,CATD,ESCANER,ACTA PREP,0 days 00:01:57,1.95
11,'210425B0100,'210425B01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0425,'01,B,'00,2,3,sin_dato,338,sin_dato,sin_dato,,,,1,21,20,,23,53,10,42,,,,,,,,,,,,sin_dato,12,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,1,2,sin_dato,185.0,398.0,418.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,f97ee869f1cfb7be632d21466f684fe75e5e5fae3fbc3ad878c984788347c56b,2024-05-12 16:36:02,2024-05-12 16:38:25,2024-05-12 16:42:02,CATD,ESCANER,ACTA PREP,0 days 00:02:23,2.38
12,'210425C0100,'210425C01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0425,'01,C,'00,2,3,sin_dato,338,sin_dato,sin_dato,,,,sin_dato,sin_dato,sin_dato,,sin_dato,sin_dato,sin_dato,sin_dato,,,,,,,,,,,,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,0.0,398.0,418.0,TODOS ILEGIBLES O SIN DATO,0,F,28136a0031ebdbdbe414d7127bf24156fab898179ad869d76a5d32613f647b45,2024-05-12 16:36:48,2024-05-12 16:38:47,2024-05-12 16:53:15,CATD,ESCANER,ACTA PREP,0 days 00:01:59,1.98
13,'210426B0100,'210426B01003,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0426,'01,B,'00,2,3,sin_dato,732,sin_dato,sin_dato,,,,4,72,25,,30,4,60,102,,,,,,,,,,,,0,4,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,5,4,sin_dato,310.0,732.0,752.0,ALGUN CAMPO ILEGIBLE O SIN DATO,1,F,73b0b468409f97ce1620a7c580bac96c6422517d53f10a2c0d20555118b0dafe,2024-05-12 16:37:20,2024-05-12 16:38:28,2024-05-12 16:46:06,CATD,ESCANER,ACTA PREP,0 days 00:01:08,1.13
