,CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_DISTRITO,DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MOR,NAP,FXMP,C_PAN_PRI_PRD_PSI,C_PAN_PRI_PRD,C_PAN_PRI_PSI,C_PAN_PRD_PSI,C_PRI_PRD_PSI,C_PAN_PRI,C_PAN_PRD,C_PAN_PSI,C_PRI_PRD,C_PRI_PSI,C_PRD_PSI,C_PT_PVEM_MOR_NAP_FXMP,C_PT_PVEM_MOR_NAP,C_PT_PVEM_MOR_FXMP,C_PT_PVEM_NAP_FXMP,C_PT_MOR_NAP_FXMP,C_PVEM_MOR_NAP_FXMP,C_PT_PVEM_MOR,C_PT_PVEM_NAP,C_PT_PVEM_FXMP,C_PT_MOR_NAP,C_PT_MOR_FXMP,C_PT_NAP_FXMP,C_PVEM_MOR_NAP,C_PVEM_MOR_FXMP,C_PVEM_NAP_FXMP,C_MOR_NAP_FXMP,C_PT_PVEM,C_PT_MOR,C_PT_NAP,C_PT_FXMP,C_PVEM_MOR,C_PVEM_NAP,C_PVEM_FXMP,C_MOR_NAP,C_MOR_FXMP,C_NAP_FXMP,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,TIEMPO_PROCESAMIENTO,TIEMPO_PROCESAMIENTO_MINUTOS
0,'210000M0000,'210000M00002,'21,PUEBLA,'N/A,,'N/A,'00,M,'00,1,2,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
1,'210000A0000,'210000A00002,'21,PUEBLA,'N/A,,'N/A,'00,A,'00,1,2,,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1000.0,,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
2,'210423B0100,'210423B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,743.0,763.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
3,'210423C0100,'210423C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,742.0,762.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
4,'210423C0200,'210423C02002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'02,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,742.0,762.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
5,'210423C0300,'210423C03002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0423,'03,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,742.0,762.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
6,'210424B0100,'210424B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,549.0,569.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
7,'210424C0100,'210424C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,548.0,568.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
8,'210424C0200,'210424C02002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'02,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,548.0,568.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
9,'210424E0100,'210424E01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,E,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,384.0,404.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
10,'210424E0101,'210424E01012,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0424,'01,E,'01,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,384.0,404.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
11,'210425B0100,'210425B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0425,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,398.0,418.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
12,'210425C0100,'210425C01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0425,'01,C,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,398.0,418.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
13,'210426B0100,'210426B01002,'21,PUEBLA,'002,HUAUCHINANGO DE DEGOLLADO,'0426,'01,B,'00,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,732.0,752.0,SIN OBSERVACIONES,-,-,-,,,,-,-,-,,
