CLAVE_CASILLA,CLAVE_ACTA,ID_ENTIDAD,ENTIDAD,ID_MUNICIPIO,MUNICIPIO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PVEM,MC,PSI,MOR,NAP,FXMP,SEHHP,CAND_IND_1,CAND_IND_2,C_PT_MOR,NO_REGISTRADAS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,CODIGO_INTEGRIDAD,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO,TIEMPO_PROCESAMIENTO,TIEMPO_PROCESAMIENTO_MINUTOS,TIEMPO_PROCESAMIENTO_VERIFICACION,TIEMPO_PROCESAMIENTO_VERIFICACION_MINUTOS
'210423B0100,'210423B01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0423,'01,B,'00,2,4,sin_dato,743,sin_dato,sin_dato,,79,,,19,102,41,35,46,,,,,,8,1,sin_dato,331.0,743.0,763.0, - ,1,F,1bc8083e3d0dee0e55f659edbc9bd8bbbb7965c5b446c379579bf567539f1185,2024-05-12 13:00:27,2024-05-12 13:15:18,2024-05-12 13:16:38,CATD,ESCANER,ACTA PREP,0 days 00:14:51,14.85,0 days 00:16:11,16.18
'210423C0100,'210423C01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0423,'01,C,'00,2,4,sin_dato,742,sin_dato,sin_dato,,17,,,118,67,59,40,103,,,,,,7,4,sin_dato,415.0,742.0,762.0, - ,1,F,0b8e98e076e34e0fc84ac3612ed2c73aec780cc521d8393c1830b5376a53c71e,2024-05-12 12:37:10,2024-05-12 12:54:28,2024-05-12 13:01:13,CATD,ESCANER,ACTA PREP,0 days 00:17:18,17.3,0 days 00:24:03,24.05
'210423C0200,'210423C02004,'21,PUEBLA,'050,CHICONCUAUTLA,'0423,'02,C,'00,2,4,sin_dato,742,sin_dato,sin_dato,,86,,,111,115,61,102,66,,,,,,4,1,sin_dato,546.0,742.0,762.0, - ,1,F,21b6bd1405bb64124f669b507ce284b659ebb5707c426be19b8e358f32154029,2024-05-12 12:39:35,2024-05-12 12:56:17,2024-05-12 12:57:14,CATD,ESCANER,ACTA PREP,0 days 00:16:42,16.7,0 days 00:17:39,17.65
'210423C0300,'210423C03004,'21,PUEBLA,'050,CHICONCUAUTLA,'0423,'03,C,'00,2,4,sin_dato,742,sin_dato,sin_dato,,28,,,95,95,114,20,14,,,,,,12,4,sin_dato,382.0,742.0,762.0, - ,1,F,4908249a3f90d7638e32c304ff89ae8793b5edf3d186fd3e65bef92c5fa01478,2024-05-12 12:41:20,2024-05-12 12:58:03,2024-05-12 12:58:55,CATD,ESCANER,ACTA PREP,0 days 00:16:43,16.72,0 days 00:17:35,17.58
'210424B0100,'210424B01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0424,'01,B,'00,2,4,sin_dato,549,sin_dato,sin_dato,,28,,,51,56,94,18,80,,,,,,7,4,sin_dato,338.0,549.0,569.0, - ,1,F,39810c34437beaeb6e17b0cadd27c9cce439af45be97f2f4d8d152370c5bda77,2024-05-12 12:44:35,2024-05-12 13:01:43,2024-05-12 13:02:36,CATD,ESCANER,ACTA PREP,0 days 00:17:08,17.13,0 days 00:18:01,18.02
'210424C0100,'210424C01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0424,'01,C,'00,2,4,sin_dato,548,sin_dato,sin_dato,,63,,,16,40,46,76,86,,,,,,2,3,sin_dato,332.0,548.0,568.0, - ,1,F,93ae4d7b0bb50fa3dddfaf90305b4b6dc8b64483e66a786eb6c0aa5afa605267,2024-05-12 12:47:02,2024-05-12 13:03:52,2024-05-12 13:04:22,CATD,ESCANER,ACTA PREP,0 days 00:16:50,16.83,0 days 00:17:20,17.33
'210424C0200,'210424C02004,'21,PUEBLA,'050,CHICONCUAUTLA,'0424,'02,C,'00,2,4,sin_dato,548,sin_dato,sin_dato,,96,,,40,11,38,34,22,,,,,,6,3,sin_dato,250.0,548.0,568.0, - ,1,F,e609a02f14641d048c7f675c0a225dc1a7d21ce5555bef8b940501c60b10152b,2024-05-12 12:48:49,2024-05-12 13:06:04,2024-05-12 13:06:56,CATD,ESCANER,ACTA PREP,0 days 00:17:15,17.25,0 days 00:18:07,18.12
'210424E0100,'210424E01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0424,'01,E,'00,2,4,sin_dato,384,sin_dato,sin_dato,,27,,,51,33,18,18,69,,,,,,3,2,sin_dato,221.0,384.0,404.0, - ,1,F,a52cfc4a8fbbdeba33559baf4858875980805f996fba9bc7b26a967dd95e564f,2024-05-12 12:51:36,2024-05-12 13:07:54,2024-05-12 13:08:20,CATD,ESCANER,ACTA PREP,0 days 00:16:18,16.3,0 days 00:16:44,16.73
'210424E0101,'210424E01014,'21,PUEBLA,'050,CHICONCUAUTLA,'0424,'01,E,'01,2,4,sin_dato,384,sin_dato,sin_dato,,sin_dato,,,sin_dato,sin_dato,sin_dato,sin_dato,sin_dato,,,,,,sin_dato,sin_dato,sin_dato,0.0,384.0,404.0,TODOS ILEGIBLES O SIN DATO,0,F,a65442358261d0dec65f7e89ccaac5d6fc9306b34cf5e0c56ff7988ba5565c8a,2024-05-12 12:53:17,2024-05-12 13:10:25,2024-05-12 13:25:36,CATD,ESCANER,ACTA PREP,0 days 00:17:08,17.13,0 days 00:32:19,32.32
'210425B0100,'210425B01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0425,'01,B,'00,2,4,sin_dato,398,sin_dato,sin_dato,,26,,,61,23,71,46,37,,,,,,3,2,sin_dato,269.0,398.0,418.0, - ,1,F,ff7c3977accb636045abed2b7484149c5d0a8b7716d95fb780babfec9ee04e0d,2024-05-12 12:56:36,2024-05-12 13:17:13,2024-05-12 13:19:44,CATD,ESCANER,ACTA PREP,0 days 00:20:37,20.62,0 days 00:23:08,23.13
'210425C0100,'210425C01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0425,'01,C,'00,2,4,sin_dato,398,sin_dato,sin_dato,,19,,,48,19,22,18,48,,,,,,2,2,sin_dato,178.0,398.0,418.0, - ,1,F,85a006b1ada4c7c499f03fa8efab37ae5dfd0454ae45df45a8fcef816eecaadd,2024-05-12 12:59:22,2024-05-12 13:14:30,2024-05-12 13:15:30,CATD,ESCANER,ACTA PREP,0 days 00:15:08,15.13,0 days 00:16:08,16.13
'210426B0100,'210426B01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0426,'01,B,'00,2,4,sin_dato,732,sin_dato,sin_dato,,20,,,109,13,50,129,84,,,,,,2,4,sin_dato,411.0,732.0,752.0, - ,1,F,853bf500cba31af30db488c521674959b248f1bcff96a6e376476ca31774881a,2024-05-12 13:02:04,2024-05-12 13:18:01,2024-05-12 13:19:30,CATD,ESCANER,ACTA PREP,0 days 00:15:57,15.95,0 days 00:17:26,17.43
'210426C0100,'210426C01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0426,'01,C,'00,2,4,sin_dato,731,sin_dato,sin_dato,,117,,,56,71,28,56,96,,,,,,5,2,sin_dato,431.0,731.0,751.0, - ,1,F,0e67a58b4523a9fa132c421a66280db0fc188fdde925897f9e0ec314ea8dde81,2024-05-12 13:05:07,2024-05-12 13:23:06,2024-05-12 13:24:08,CATD,ESCANER,ACTA PREP,0 days 00:17:59,17.98,0 days 00:19:01,19.02
'210427B0100,'210427B01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0427,'01,B,'00,2,4,sin_dato,544,sin_dato,sin_dato,,21,,,20,68,29,64,96,,,,,,2,3,sin_dato,303.0,544.0,564.0, - ,1,F,78a07c3511be3b63dbeba3f3a177a31e74e951687b6263e88fbd08a8376fe8b2,2024-05-12 13:07:03,2024-05-12 13:31:28,2024-05-12 13:37:51,CATD,ESCANER,ACTA PREP,0 days 00:24:25,24.42,0 days 00:30:48,30.8
'210427C0100,'210427C01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0427,'01,C,'00,2,4,sin_dato,544,sin_dato,sin_dato,,54,,,44,44,90,62,15,,,,,,9,4,sin_dato,322.0,544.0,564.0, - ,1,F,cacc293b570eb8ac7f462c75e521c725f240f351a1299a5d010471d84d5e8e96,2024-05-12 13:08:56,2024-05-12 13:28:06,2024-05-12 13:28:42,CATD,ESCANER,ACTA PREP,0 days 00:19:10,19.17,0 days 00:19:46,19.77
'210427E0100,'210427E01004,'21,PUEBLA,'050,CHICONCUAUTLA,'0427,'01,E,'00,2,4,sin_dato,487,sin_dato,sin_dato,,47,,,39,38,63,44,53,,,,,,4,1,sin_dato,289.0,487.0,507.0, - ,1,F,d99c128dfb39e48a3884195a42f092fd44629379a88a3d6ad5d9d8186ab726cc,2024-05-12 13:11:26,2024-05-12 13:30:04,2024-05-12 13:31:37,CATD,ESCANER,ACTA PREP,0 days 00:18:38,18.63,0 days 00:20:11,20.18
