,CVEGEO,CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,Area,PERIMETER,COV_,COV_ID
0,21001,21,001,Puebla,Acajete,17599.7037381,94.1097466351,1508,1509
1,21002,21,002,Puebla,Acateno,17949.4909415,91.0256316227,1509,1510
2,21003,21,003,Puebla,Acatlán,60718.9556606,270.793117069,1510,1511
3,21004,21,004,Puebla,Acatzingo,13990.2005004,85.9801906555,1511,1512
4,21005,21,005,Puebla,Acteopan,7482.41307033,55.1163260936,1512,1513
5,21006,21,006,Puebla,Ahuacatlán,9068.34616214,57.3993880815,1513,1514
6,21007,21,007,Puebla,Ahuatlán,18438.1601422,92.8544277405,1514,1515
7,21008,21,008,Puebla,Ahuazotepec,6029.55854871,44.5104117164,1515,1516
8,21009,21,009,Puebla,Ahuehuetitla,7207.28457865,53.2784209048,1516,1517
9,21010,21,010,Puebla,Ajalpan,39267.4235396,150.479581278,1517,1518
10,21011,21,011,Puebla,Albino Zertuche,7923.65765759,72.428690924,1518,1519
11,21012,21,012,Puebla,Aljojuca,5203.44223391,40.1000152308,1519,1520
12,21013,21,013,Puebla,Altepexi,4701.48578865,40.3082674576,1520,1521
13,21014,21,014,Puebla,Amixtlán,4419.42253259,36.2899873635,1521,1522
14,21015,21,015,Puebla,Amozoc,14188.6536188,82.6044698466,1522,1523
15,21016,21,016,Puebla,Aquixtla,16570.1427643,88.7185668432,1523,1524
16,21017,21,017,Puebla,Atempan,4777.03602628,39.2262908377,1524,1525
17,21018,21,018,Puebla,Atexcal,33065.2897981,106.529045449,1525,1526
18,21019,21,019,Puebla,Atlixco,29190.686972,135.388651114,1526,1527
19,21020,21,020,Puebla,Atoyatempan,2682.4751885,26.710691434,1527,1528
20,21021,21,021,Puebla,Atzala,1130.3753002,20.3181048585,1528,1529
21,21022,21,022,Puebla,Atzitzihuacán,12925.3033823,103.432071755,1529,1530
22,21023,21,023,Puebla,Atzitzintla,13253.6023279,65.720507706,1530,1531
23,21024,21,024,Puebla,Axutla,18773.1678435,89.9773731073,1531,1532
24,21025,21,025,Puebla,Ayotoxco de Guerrero,10595.1071234,61.6854114049,1532,1533
25,21026,21,026,Puebla,Calpan,6657.04006194,52.4828970753,1533,1534
26,21027,21,027,Puebla,Caltepec,39193.5597738,176.188932861,1534,1535
